seq_id,study_label,arm_id,outcome_id,outcome_name,control_arm,gt_delta,llm_effect,gt_treatment_mean,gt_control_mean,gt_n_treatment,gt_n_control,metric,comparable,note
103,Labor Market Concerns and Support for Immigration,research_evidence,support_low_skilled_immigration_index,Support for low-skilled immigration index,control,0.14,,0.14,0.0,,,mean,False,llm control mean missing
108,Does Promoting One Healthy Behavior Detract from Others? Evidence from a Field Experiment,meal_logging_incentives,daily_meal_logging_rate,Daily meal logging participation rate,control,0.382,,0.5,0.118,,,proportion,False,llm control mean missing
108,Does Promoting One Healthy Behavior Detract from Others? Evidence from a Field Experiment,meal_logging_incentives,daily_meditation_rate,Daily meditation participation rate,control,-0.025,,0.069,0.094,,,proportion,False,llm control mean missing
108,Does Promoting One Healthy Behavior Detract from Others? Evidence from a Field Experiment,meal_logging_messages,daily_meal_logging_rate,Daily meal logging participation rate,control,0.166,,0.284,0.118,,,proportion,False,llm control mean missing
108,Does Promoting One Healthy Behavior Detract from Others? Evidence from a Field Experiment,meal_logging_messages,daily_meditation_rate,Daily meditation participation rate,control,-0.028,,0.066,0.094,,,proportion,False,llm control mean missing
108,Does Promoting One Healthy Behavior Detract from Others? Evidence from a Field Experiment,meditation_messages,daily_meal_logging_rate,Daily meal logging participation rate,control,-0.024,,0.094,0.118,,,proportion,False,llm control mean missing
108,Does Promoting One Healthy Behavior Detract from Others? Evidence from a Field Experiment,meditation_messages,daily_meditation_rate,Daily meditation participation rate,control,0.088,,0.182,0.094,,,proportion,False,llm control mean missing
116,Nudging Demand for Academic Support Services: Experimental and Structural Evidence from Higher Education,any_service_messages,any_service_use,Used any academic support service during the term,control,0.007,,0.347,0.34,,,proportion,False,llm control mean missing
116,Nudging Demand for Academic Support Services: Experimental and Structural Evidence from Higher Education,any_service_messages,aware_any_service,Aware of academic support service availability,control,0.051,,0.701,0.65,,,proportion,False,llm control mean missing
116,Nudging Demand for Academic Support Services: Experimental and Structural Evidence from Higher Education,email_messages,any_service_use,Used any academic support service during the term,control,0.029,,0.35900000000000004,0.33,,,proportion,False,llm control mean missing
116,Nudging Demand for Academic Support Services: Experimental and Structural Evidence from Higher Education,email_messages,any_use_practice_problems,Used extra practice problems during the term,control,0.067,,,0.935,,,proportion,False,llm control mean missing
116,Nudging Demand for Academic Support Services: Experimental and Structural Evidence from Higher Education,email_messages,aware_any_service,Aware of academic support service availability,control,0.116,,0.706,0.59,,,proportion,False,llm control mean missing
116,Nudging Demand for Academic Support Services: Experimental and Structural Evidence from Higher Education,email_messages,aware_practice_problems,Aware that extra practice problems are available,control,0.116,,0.816,0.7,,,proportion,False,llm control mean missing
116,Nudging Demand for Academic Support Services: Experimental and Structural Evidence from Higher Education,email_messages,multiple_use_practice_problems,Used extra practice problems multiple times during the term,control,0.11,,1.0,0.894,,,proportion,False,llm control mean missing
116,Nudging Demand for Academic Support Services: Experimental and Structural Evidence from Higher Education,practice_problem_messages,any_use_practice_problems,Used extra practice problems during the term,control,0.016,,0.955,0.939,,,proportion,False,llm control mean missing
116,Nudging Demand for Academic Support Services: Experimental and Structural Evidence from Higher Education,practice_problem_messages,aware_practice_problems,Aware that extra practice problems are available,control,0.065,,0.7849999999999999,0.72,,,proportion,False,llm control mean missing
116,Nudging Demand for Academic Support Services: Experimental and Structural Evidence from Higher Education,practice_problem_messages,multiple_use_practice_problems,Used extra practice problems multiple times during the term,control,0.034,,0.934,0.9,,,proportion,False,llm control mean missing
118,Sharing responsibility for the good,bilateral,wtp_measles_vaccination,Willingness to pay for measles vaccination of a child,individual_active,0.01,,1.0,0.99,120,119,mean,False,llm control mean missing
118,Sharing responsibility for the good,individual_passive,wtp_measles_vaccination,Willingness to pay for measles vaccination of a child,individual_active,0.2,,1.19,0.99,119,119,mean,False,llm control mean missing
119,Insurance demand experiments: Comparing crowdworking to the lab,online,insurance_demand,Insurance demand,in_person,0.71,,46.28,45.57,1352,378,mean,False,llm control mean missing
125,The Relative Income Effect: An Experiment,hh_dollars,post_msf_score,Post-revelation Mood Short Form score,ll_points,1.791,,17.286,15.495,133,103,mean,False,llm control mean missing
125,The Relative Income Effect: An Experiment,hh_points,post_msf_score,Post-revelation Mood Short Form score,ll_points,0.842,,16.337,15.495,101,103,mean,False,llm control mean missing
125,The Relative Income Effect: An Experiment,hl_dollars,post_msf_score,Post-revelation Mood Short Form score,ll_points,1.798,,17.293,15.495,123,103,mean,False,llm control mean missing
125,The Relative Income Effect: An Experiment,hl_points,post_msf_score,Post-revelation Mood Short Form score,ll_points,1.044,,16.539,15.495,89,103,mean,False,llm control mean missing
125,The Relative Income Effect: An Experiment,lh_dollars,post_msf_score,Post-revelation Mood Short Form score,ll_points,-2.728,,12.767,15.495,103,103,mean,False,llm control mean missing
125,The Relative Income Effect: An Experiment,lh_points,post_msf_score,Post-revelation Mood Short Form score,ll_points,-1.183,,14.312,15.495,109,103,mean,False,llm control mean missing
125,The Relative Income Effect: An Experiment,ll_dollars,post_msf_score,Post-revelation Mood Short Form score,ll_points,-1.525,,13.97,15.495,99,103,mean,False,llm control mean missing
128,Creating Exercise Habits Using Incentives: The Trade-off Between Flexibility and Routinization,flex_3,post_any_out_of_window_workout,Probability of any out-of-window gym visit in a week,control,0.07,,0.3,0.23,,132,proportion,False,llm control mean missing
128,Creating Exercise Habits Using Incentives: The Trade-off Between Flexibility and Routinization,flex_3,post_any_workout,Probability of any gym visit in a week,control,0.1,,0.44,0.34,,132,proportion,False,llm control mean missing
128,Creating Exercise Habits Using Incentives: The Trade-off Between Flexibility and Routinization,flex_3,post_out_of_window_workouts,Postintervention weekly out-of-window gym-visit days,control,0.13,,0.52,0.39,,132,mean,False,llm control mean missing
128,Creating Exercise Habits Using Incentives: The Trade-off Between Flexibility and Routinization,flex_3,post_total_workouts,Postintervention weekly gym-visit days,control,0.21,,0.97,0.76,,132,mean,False,llm control mean missing
128,Creating Exercise Habits Using Incentives: The Trade-off Between Flexibility and Routinization,flex_7,post_any_out_of_window_workout,Probability of any out-of-window gym visit in a week,control,0.1,,0.33,0.23,,132,proportion,False,llm control mean missing
128,Creating Exercise Habits Using Incentives: The Trade-off Between Flexibility and Routinization,flex_7,post_any_workout,Probability of any gym visit in a week,control,0.14,,0.48,0.34,,132,proportion,False,llm control mean missing
128,Creating Exercise Habits Using Incentives: The Trade-off Between Flexibility and Routinization,flex_7,post_out_of_window_workouts,Postintervention weekly out-of-window gym-visit days,control,0.2,,0.59,0.39,,132,mean,False,llm control mean missing
128,Creating Exercise Habits Using Incentives: The Trade-off Between Flexibility and Routinization,flex_7,post_total_workouts,Postintervention weekly gym-visit days,control,0.28,,1.04,0.76,,132,mean,False,llm control mean missing
128,Creating Exercise Habits Using Incentives: The Trade-off Between Flexibility and Routinization,routine_3,post_any_out_of_window_workout,Probability of any out-of-window gym visit in a week,control,0.01,,0.24,0.23,,132,proportion,False,llm control mean missing
128,Creating Exercise Habits Using Incentives: The Trade-off Between Flexibility and Routinization,routine_3,post_any_workout,Probability of any gym visit in a week,control,0.05,,0.39,0.34,,132,proportion,False,llm control mean missing
128,Creating Exercise Habits Using Incentives: The Trade-off Between Flexibility and Routinization,routine_3,post_out_of_window_workouts,Postintervention weekly out-of-window gym-visit days,control,0.04,,0.43,0.39,,132,mean,False,llm control mean missing
128,Creating Exercise Habits Using Incentives: The Trade-off Between Flexibility and Routinization,routine_3,post_total_workouts,Postintervention weekly gym-visit days,control,0.12,,0.88,0.76,,132,mean,False,llm control mean missing
128,Creating Exercise Habits Using Incentives: The Trade-off Between Flexibility and Routinization,routine_7,post_any_out_of_window_workout,Probability of any out-of-window gym visit in a week,control,0.01,,0.24,0.23,,132,proportion,False,llm control mean missing
128,Creating Exercise Habits Using Incentives: The Trade-off Between Flexibility and Routinization,routine_7,post_any_workout,Probability of any gym visit in a week,control,0.07,,0.41,0.34,,132,proportion,False,llm control mean missing
128,Creating Exercise Habits Using Incentives: The Trade-off Between Flexibility and Routinization,routine_7,post_out_of_window_workouts,Postintervention weekly out-of-window gym-visit days,control,0.01,,0.4,0.39,,132,mean,False,llm control mean missing
128,Creating Exercise Habits Using Incentives: The Trade-off Between Flexibility and Routinization,routine_7,post_total_workouts,Postintervention weekly gym-visit days,control,0.18,,0.94,0.76,,132,mean,False,llm control mean missing
131,Cash transfer narratives and charitable giving,community_empowerment,donation_amount,Donation Amount,poverty_alleviation,2.329,,38.967,36.638,454,461,mean,False,llm control mean missing
131,Cash transfer narratives and charitable giving,individual_empowerment,donation_amount,Donation Amount,poverty_alleviation,-1.468,,35.17,36.638,452,461,mean,False,llm control mean missing
141,People Judge Discrimination Against Women More Harshly Than Discrimination Against Men – Does Statistical Fairness Discrimination Explain Why?,woman_discrimination_first,moral_badness_of_manager_decision,Moral badness of manager's discriminatory hiring decision,man_discrimination_first,11.8,,13.3,1.5,,,mean,False,llm control mean missing
143,Forecasting the Results of Experiments,large_slider_1_0_sd,predicted_causal_effect,Predicted causal effect,small_slider_0_5_sd,0.09,,0.21,0.12,37,33,mean,False,llm control mean missing
145,A Pilot Survey on Student Loan Repayment Plan Choice,repayment_plan_2,plan_choice,Plan Choice,repayment_plan_1,0.55,,55.0,,22,,proportion,False,llm control mean missing
150,Correcting Misperceptions about Support for Social Distancing to Combat COVID-19,leader_endorsement,expected_future_infection_rate,Expected future infection rate in community,control,-0.0209,,0.3381,0.359,,,mean,False,llm control mean missing
150,Correcting Misperceptions about Support for Social Distancing to Combat COVID-19,leader_endorsement,primary_social_distancing_indicator,Primary social-distancing indicator,control,-0.0054,,0.0803,0.0857,637,852,proportion,False,llm control mean missing
150,Correcting Misperceptions about Support for Social Distancing to Combat COVID-19,misperceptions_correction,expected_future_infection_rate,Expected future infection rate in community,control,0.0418,,0.40079999999999993,0.359,,,mean,False,llm control mean missing
150,Correcting Misperceptions about Support for Social Distancing to Combat COVID-19,misperceptions_correction,primary_social_distancing_indicator,Primary social-distancing indicator,control,0.0042,,0.0899,0.0857,628,852,proportion,False,llm control mean missing
151,The Effect of Self-Awareness and Competition on Dishonesty,high_dishonesty_treatment,matrix_puzzle_high,"Wave 1 matrix puzzle reported matrices solved, high incentive",controlgroup,-0.312,,5.487,5.799,195,284,mean,False,llm control mean missing
151,The Effect of Self-Awareness and Competition on Dishonesty,high_dishonesty_treatment,matrix_puzzle_low,"Wave 1 matrix puzzle reported matrices solved, low incentive",controlgroup,-0.218,,5.528,5.746,195,284,mean,False,llm control mean missing
151,The Effect of Self-Awareness and Competition on Dishonesty,high_dishonesty_treatment,modified_matrix_high,"Wave 2 modified matrix puzzle reported matrices solved, high incentive",controlgroup,-2.174,,4.885,7.059,87,101,mean,False,llm control mean missing
151,The Effect of Self-Awareness and Competition on Dishonesty,high_dishonesty_treatment,modified_matrix_low,"Wave 2 modified matrix puzzle reported matrices solved, low incentive",controlgroup,-2.743,,5.138,7.881,87,101,mean,False,llm control mean missing
151,The Effect of Self-Awareness and Competition on Dishonesty,high_dishonesty_treatment,sender_receiver_high,"Wave 1 sender-receiver dishonest message rate, high incentive",controlgroup,0.095,,0.595,0.5,195,284,proportion,False,llm control mean missing
151,The Effect of Self-Awareness and Competition on Dishonesty,high_dishonesty_treatment,sender_receiver_low,"Wave 1 sender-receiver dishonest message rate, low incentive",controlgroup,0.103,,0.497,0.394,195,284,proportion,False,llm control mean missing
151,The Effect of Self-Awareness and Competition on Dishonesty,honesty_treatment,matrix_puzzle_high,"Wave 1 matrix puzzle reported matrices solved, high incentive",controlgroup,-0.931,,4.868,5.799,205,284,mean,False,llm control mean missing
151,The Effect of Self-Awareness and Competition on Dishonesty,honesty_treatment,matrix_puzzle_low,"Wave 1 matrix puzzle reported matrices solved, low incentive",controlgroup,-0.98,,4.766,5.746,205,284,mean,False,llm control mean missing
151,The Effect of Self-Awareness and Competition on Dishonesty,honesty_treatment,modified_matrix_high,"Wave 2 modified matrix puzzle reported matrices solved, high incentive",controlgroup,-1.006,,6.053,7.059,76,101,mean,False,llm control mean missing
151,The Effect of Self-Awareness and Competition on Dishonesty,honesty_treatment,modified_matrix_low,"Wave 2 modified matrix puzzle reported matrices solved, low incentive",controlgroup,-2.473,,5.408,7.881,76,101,mean,False,llm control mean missing
151,The Effect of Self-Awareness and Competition on Dishonesty,honesty_treatment,sender_receiver_high,"Wave 1 sender-receiver dishonest message rate, high incentive",controlgroup,0.134,,0.634,0.5,205,284,proportion,False,llm control mean missing
151,The Effect of Self-Awareness and Competition on Dishonesty,honesty_treatment,sender_receiver_low,"Wave 1 sender-receiver dishonest message rate, low incentive",controlgroup,0.182,,0.576,0.394,205,284,proportion,False,llm control mean missing
151,The Effect of Self-Awareness and Competition on Dishonesty,low_dishonesty_treatment,matrix_puzzle_high,"Wave 1 matrix puzzle reported matrices solved, high incentive",controlgroup,-0.972,,4.827,5.799,208,284,mean,False,llm control mean missing
151,The Effect of Self-Awareness and Competition on Dishonesty,low_dishonesty_treatment,matrix_puzzle_low,"Wave 1 matrix puzzle reported matrices solved, low incentive",controlgroup,-0.924,,4.822,5.746,208,284,mean,False,llm control mean missing
151,The Effect of Self-Awareness and Competition on Dishonesty,low_dishonesty_treatment,modified_matrix_high,"Wave 2 modified matrix puzzle reported matrices solved, high incentive",controlgroup,-1.703,,5.356,7.059,104,101,mean,False,llm control mean missing
151,The Effect of Self-Awareness and Competition on Dishonesty,low_dishonesty_treatment,modified_matrix_low,"Wave 2 modified matrix puzzle reported matrices solved, low incentive",controlgroup,-2.169,,5.712,7.881,104,101,mean,False,llm control mean missing
151,The Effect of Self-Awareness and Competition on Dishonesty,low_dishonesty_treatment,sender_receiver_high,"Wave 1 sender-receiver dishonest message rate, high incentive",controlgroup,0.043,,0.543,0.5,208,284,proportion,False,llm control mean missing
151,The Effect of Self-Awareness and Competition on Dishonesty,low_dishonesty_treatment,sender_receiver_low,"Wave 1 sender-receiver dishonest message rate, low incentive",controlgroup,0.12,,0.514,0.394,208,284,proportion,False,llm control mean missing
152,Statistical Fairness Discrimination,less_justifiable_black,fairness_evaluation,Fairness Evaluation,more_justifiable,-0.898,,,,,,mean,False,llm control mean missing
152,Statistical Fairness Discrimination,less_justifiable_white,fairness_evaluation,Fairness Evaluation,more_justifiable,-0.953,,,,,,mean,False,llm control mean missing
159,The Ability to Distill the Truth,score_revelation,belief_update_points,Belief updating between mid-task and posterior beliefs,control,-0.287,,-0.487,-0.2,,,mean,False,llm control mean missing
159,The Ability to Distill the Truth,score_revelation,posterior_belief_error,Absolute error in posterior beliefs about news-accuracy detection ability,control,-0.203,,1.887,2.09,,,mean,False,llm control mean missing
160,Does Unfairness Hurt Women? The Effects of Losing Unfair Competitions,feedback_loser_female,stage3_tournament_entry,Chooses tournament compensation in Stage 3,neutral_loser_male,-0.002,,0.179,0.181,,,proportion,False,llm control mean missing
160,Does Unfairness Hurt Women? The Effects of Losing Unfair Competitions,feedback_loser_male,stage3_tournament_entry,Chooses tournament compensation in Stage 3,neutral_loser_male,0.059,,0.24,0.181,,,proportion,False,llm control mean missing
160,Does Unfairness Hurt Women? The Effects of Losing Unfair Competitions,feedback_winner_female,stage3_tournament_entry,Chooses tournament compensation in Stage 3,neutral_loser_male,0.164,,0.345,0.181,,,proportion,False,llm control mean missing
160,Does Unfairness Hurt Women? The Effects of Losing Unfair Competitions,feedback_winner_male,stage3_tournament_entry,Chooses tournament compensation in Stage 3,neutral_loser_male,0.09,,0.271,0.181,,,proportion,False,llm control mean missing
160,Does Unfairness Hurt Women? The Effects of Losing Unfair Competitions,neutral_loser_female,stage3_tournament_entry,Chooses tournament compensation in Stage 3,neutral_loser_male,-0.021,,0.16,0.181,,,proportion,False,llm control mean missing
160,Does Unfairness Hurt Women? The Effects of Losing Unfair Competitions,neutral_winner_female,stage3_tournament_entry,Chooses tournament compensation in Stage 3,neutral_loser_male,0.343,,0.524,0.181,,,proportion,False,llm control mean missing
160,Does Unfairness Hurt Women? The Effects of Losing Unfair Competitions,neutral_winner_male,stage3_tournament_entry,Chooses tournament compensation in Stage 3,neutral_loser_male,0.429,,0.61,0.181,,,proportion,False,llm control mean missing
160,Does Unfairness Hurt Women? The Effects of Losing Unfair Competitions,unfair_loser_female,stage3_tournament_entry,Chooses tournament compensation in Stage 3,neutral_loser_male,0.047,,0.228,0.181,,,proportion,False,llm control mean missing
160,Does Unfairness Hurt Women? The Effects of Losing Unfair Competitions,unfair_loser_male,stage3_tournament_entry,Chooses tournament compensation in Stage 3,neutral_loser_male,0.163,,0.344,0.181,,,proportion,False,llm control mean missing
160,Does Unfairness Hurt Women? The Effects of Losing Unfair Competitions,unfair_winner_female,stage3_tournament_entry,Chooses tournament compensation in Stage 3,neutral_loser_male,0.412,,0.593,0.181,,,proportion,False,llm control mean missing
160,Does Unfairness Hurt Women? The Effects of Losing Unfair Competitions,unfair_winner_male,stage3_tournament_entry,Chooses tournament compensation in Stage 3,neutral_loser_male,0.367,,0.548,0.181,,,proportion,False,llm control mean missing
162,Which Job Attributes Attract Individuals High in Public Service Motivation and Self-Efficacy to a Public Service Job?,bonus_large,profile_chosen_probability,Probability that the job profile is chosen,baseline_job_profile,0.023,,0.458,0.435,9006,9006,proportion,False,llm control mean missing
162,Which Job Attributes Attract Individuals High in Public Service Motivation and Self-Efficacy to a Public Service Job?,community_income_high,profile_chosen_probability,Probability that the job profile is chosen,baseline_job_profile,0.06,,0.495,0.435,9006,9006,proportion,False,llm control mean missing
162,Which Job Attributes Attract Individuals High in Public Service Motivation and Self-Efficacy to a Public Service Job?,community_multiracial,profile_chosen_probability,Probability that the job profile is chosen,baseline_job_profile,0.107,,0.542,0.435,9006,9006,proportion,False,llm control mean missing
162,Which Job Attributes Attract Individuals High in Public Service Motivation and Self-Efficacy to a Public Service Job?,goal_eval_attendance,profile_chosen_probability,Probability that the job profile is chosen,baseline_job_profile,-0.072,,0.363,0.435,9006,9006,proportion,False,llm control mean missing
162,Which Job Attributes Attract Individuals High in Public Service Motivation and Self-Efficacy to a Public Service Job?,goal_eval_changes,profile_chosen_probability,Probability that the job profile is chosen,baseline_job_profile,-0.082,,0.353,0.435,9006,9006,proportion,False,llm control mean missing
162,Which Job Attributes Attract Individuals High in Public Service Motivation and Self-Efficacy to a Public Service Job?,overtime_frequent,profile_chosen_probability,Probability that the job profile is chosen,baseline_job_profile,-0.198,,0.237,0.435,9006,9006,proportion,False,llm control mean missing
162,Which Job Attributes Attract Individuals High in Public Service Motivation and Self-Efficacy to a Public Service Job?,pay_about_average,profile_chosen_probability,Probability that the job profile is chosen,baseline_job_profile,0.175,,0.61,0.435,9006,9006,proportion,False,llm control mean missing
162,Which Job Attributes Attract Individuals High in Public Service Motivation and Self-Efficacy to a Public Service Job?,pay_above_average,profile_chosen_probability,Probability that the job profile is chosen,baseline_job_profile,0.253,,0.688,0.435,9006,9006,proportion,False,llm control mean missing
162,Which Job Attributes Attract Individuals High in Public Service Motivation and Self-Efficacy to a Public Service Job?,task_direct_interaction,profile_chosen_probability,Probability that the job profile is chosen,baseline_job_profile,-0.051,,0.384,0.435,9006,9006,proportion,False,llm control mean missing
163,Asking Better Questions: The Effect of Changing Investment Organizations’ Evaluation Practices on Gender Disparities in Funding Innovation,female_founder_control,due_diligence_score_stage1,Stage 1 due-diligence score,male_founder_control,-0.4,,3.7,4.1,614,727,mean,False,llm control mean missing
163,Asking Better Questions: The Effect of Changing Investment Organizations’ Evaluation Practices on Gender Disparities in Funding Innovation,female_founder_control,investment_zscore_stage2,Stage 2 average investment evaluation z-score,male_founder_control,-0.21,,-0.09,0.12,,,mean,False,llm control mean missing
163,Asking Better Questions: The Effect of Changing Investment Organizations’ Evaluation Practices on Gender Disparities in Funding Innovation,female_founder_risk_reward,due_diligence_score_stage1,Stage 1 due-diligence score,male_founder_control,0.0,,4.1,4.1,614,727,mean,False,llm control mean missing
163,Asking Better Questions: The Effect of Changing Investment Organizations’ Evaluation Practices on Gender Disparities in Funding Innovation,female_founder_systematized_panel,investment_zscore_stage2,Stage 2 average investment evaluation z-score,male_founder_control,-0.01,,0.11,0.12,,,mean,False,llm control mean missing
163,Asking Better Questions: The Effect of Changing Investment Organizations’ Evaluation Practices on Gender Disparities in Funding Innovation,male_founder_risk_reward,due_diligence_score_stage1,Stage 1 due-diligence score,male_founder_control,0.0,,4.1,4.1,652,689,mean,False,llm control mean missing
163,Asking Better Questions: The Effect of Changing Investment Organizations’ Evaluation Practices on Gender Disparities in Funding Innovation,male_founder_systematized_panel,investment_zscore_stage2,Stage 2 average investment evaluation z-score,male_founder_control,-0.05,,0.07,0.12,,,mean,False,llm control mean missing
164,"Bridging America’s Divide on Abortion, Guns and Immigration: An Experimental Study",shared_etiquette,delta_firmness_abortion,Change in firmness of abortion-law views,control,-0.079,,-0.039,0.04,,,mean,False,llm control mean missing
164,"Bridging America’s Divide on Abortion, Guns and Immigration: An Experimental Study",shared_etiquette,delta_firmness_guns,Change in firmness of gun-law views,control,0.029,,0.036,0.007,,,mean,False,llm control mean missing
164,"Bridging America’s Divide on Abortion, Guns and Immigration: An Experimental Study",shared_etiquette,delta_firmness_immigration,Change in firmness of immigration views,control,-0.058,,-0.027,0.031,,,mean,False,llm control mean missing
164,"Bridging America’s Divide on Abortion, Guns and Immigration: An Experimental Study",shared_etiquette,delta_views_abortion,Change in abortion-law views,control,0.013,,0.341,0.328,,,mean,False,llm control mean missing
164,"Bridging America’s Divide on Abortion, Guns and Immigration: An Experimental Study",shared_etiquette,delta_views_guns,Change in gun-law views,control,-0.04,,0.3,0.34,,,mean,False,llm control mean missing
164,"Bridging America’s Divide on Abortion, Guns and Immigration: An Experimental Study",shared_etiquette,delta_views_immigration,Change in immigration views,control,0.011,,0.353,0.342,,,mean,False,llm control mean missing
164,"Bridging America’s Divide on Abortion, Guns and Immigration: An Experimental Study",shared_values,delta_firmness_abortion,Change in firmness of abortion-law views,control,-0.064,,-0.024,0.04,,,mean,False,llm control mean missing
164,"Bridging America’s Divide on Abortion, Guns and Immigration: An Experimental Study",shared_values,delta_firmness_guns,Change in firmness of gun-law views,control,0.012,,0.019,0.007,,,mean,False,llm control mean missing
164,"Bridging America’s Divide on Abortion, Guns and Immigration: An Experimental Study",shared_values,delta_firmness_immigration,Change in firmness of immigration views,control,-0.012,,0.019,0.031,,,mean,False,llm control mean missing
164,"Bridging America’s Divide on Abortion, Guns and Immigration: An Experimental Study",shared_values,delta_views_abortion,Change in abortion-law views,control,-0.008,,0.32,0.328,,,mean,False,llm control mean missing
164,"Bridging America’s Divide on Abortion, Guns and Immigration: An Experimental Study",shared_values,delta_views_guns,Change in gun-law views,control,0.061,,0.401,0.34,,,mean,False,llm control mean missing
164,"Bridging America’s Divide on Abortion, Guns and Immigration: An Experimental Study",shared_values,delta_views_immigration,Change in immigration views,control,0.052,,0.394,0.342,,,mean,False,llm control mean missing
169,Preferences for Giving Versus Preferences for Redistribution,giving_to_many_large,prosocial_choice,Prosocial Choice,vote_redistribution_small,-0.357,,,,,,coefficient,False,llm control mean missing
169,Preferences for Giving Versus Preferences for Redistribution,giving_to_many_small,prosocial_choice,Prosocial Choice,vote_redistribution_small,-0.174,,,,,,coefficient,False,llm control mean missing
169,Preferences for Giving Versus Preferences for Redistribution,giving_to_one_small,prosocial_choice,Prosocial Choice,vote_redistribution_small,-0.078,,,,,,coefficient,False,llm control mean missing
169,Preferences for Giving Versus Preferences for Redistribution,vote_redistribution_large,prosocial_choice,Prosocial Choice,vote_redistribution_small,-0.019,,,,,,coefficient,False,llm control mean missing
174,COVID-19 Information Treatments Shift Related Policy Preferences and Plans for Consumer Behavior,aap_in_person_schooling,agree_to_be_vaccinated,Agree to be vaccinated in spring 2021 with COVID vaccine,record_high_cases,-0.032,,0.518,0.55,,,proportion,False,llm control mean missing
