Config: no_reasoning
Comparable arm×outcome pairs : 193
Pearson  r = 0.561  (p=0.000)
Spearman r = -0.047  (p=0.515)

Per-study breakdown:
  seq= 19  Morality-Efficiency Tradeoffs: An Experimental Study     n=2  r=nan  p=nan
  seq=103  Beliefs about the Labor Market Impact of Immigration     n=8  r=-0.064  p=0.880
  seq=118  Sharing Responsibility for the Good                      n=6  r=0.011  p=0.983
  seq=141  Attitudes towards hiring decisions                       n=6  r=-0.033  p=0.950
  seq=150  Combatting COVID-19: Measuring and Changing Beliefs, Kn  n=4  r=0.690  p=0.310
  seq=151  The Effect of Self-awareness on Dishonesty (Wave 2)      n=10  r=-0.655  p=0.040
  seq=159  Fake News: Susceptibility, Awareness and Solutions       n=8  r=-0.021  p=0.961
  seq=162  Job Characteristics and Attraction to Public Sector Emp  n=8  r=0.402  p=0.323
  seq=164  Polarization and openness to others                      n=15  r=-0.413  p=0.126
  seq=169  Preferences for Giving Versus Preferences for Redistrib  n=8  r=-0.712  p=0.048
  seq=174  Effects of COVID information on Consumer Behavior and P  n=105  r=-0.660  p=0.000
  seq=176  A Word is Worth A Thousand Words: Biased Beliefs about   n=3  r=0.994  p=0.071
  seq=178  Rational inattention, macroeconomic expectation, and co  n=10  r=-0.592  p=0.072

Normalized statistics (within-study z-scored):
  Pooled normalized Pearson  r = -0.448  (p=0.000)  n=191 pairs
  seq=152  sw                                        fairness_assessment_of_the_incident_described_in_a  outcome not found in GT extraction
  seq=152  tb                                        fairness_assessment_of_the_incident_described_in_a  outcome not found in GT extraction
  seq=152  tw                                        fairness_assessment_of_the_incident_described_in_a  outcome not found in GT extraction
  seq=152  white_discriminatees_less_justifiable     fairness_assessment_of_the_incident_described_in_a  outcome not found in GT extraction
  seq=152  white_discriminatees_more_justifiable     fairness_assessment_of_the_incident_described_in_a  outcome not found in GT extraction
  seq=159  control                                   confidence_in_beliefs  outcome not found in GT extraction
  seq=159  control                                   fake_news_detection_ability  outcome not found in GT extraction
  seq=159  control                                   mid_task_beliefs_about_ability  outcome not found in GT extraction
  seq=159  control                                   posterior_beliefs_about_ability  outcome not found in GT extraction
  seq=159  control                                   prior_beliefs_about_ability  outcome not found in GT extraction
  seq=159  control_group                             fake_news_detection_ability  outcome not found in GT extraction
  seq=159  score_revelation_treatment                fake_news_detection_ability  outcome not found in GT extraction
  seq=159  treatment                                 confidence_in_beliefs  outcome not found in GT extraction
  seq=159  treatment                                 fake_news_detection_ability  outcome not found in GT extraction
  seq=159  treatment                                 mid_task_beliefs_about_ability  outcome not found in GT extraction
  seq=159  treatment                                 posterior_beliefs_about_ability  outcome not found in GT extraction
  seq=159  treatment                                 prior_beliefs_about_ability  outcome not found in GT extraction
  seq=162  aboutaverage                              job_attraction        arm not found in GT extraction
  seq=162  alargepartofyourpotentialpay_20           job_attraction        arm not found in GT extraction
  seq=162  amoderatepartofyourpotentialpay_10        job_attraction        arm not found in GT extraction
  seq=162  analysisidentifyingcommunityneeds         job_attraction        arm not found in GT extraction
  seq=162  asmallpartofyourpotentialpay_5            job_attraction        arm not found in GT extraction
  seq=162  asupervisorevaluationofyourwork           job_attraction        arm not found in GT extraction
  seq=162  attendancenumbersforprojecthopeevents     job_attraction        arm not found in GT extraction
  seq=162  averageincome                             job_attraction        arm not found in GT extraction
  seq=162  changesincommunitycrime_poverty_andblight  job_attraction        arm not found in GT extraction
  seq=162  coordinationwithcommunitygroupsandorganizations  job_attraction        arm not found in GT extraction
  seq=162  directinteractionwithcommunityresidents   job_attraction        arm not found in GT extraction
  seq=162  frequentlyrequired                        job_attraction        arm not found in GT extraction
  seq=162  frequentparticipation                     job_attraction        arm not found in GT extraction
  seq=162  highincome                                job_attraction        arm not found in GT extraction
  seq=162  lowincome                                 job_attraction        arm not found in GT extraction
  seq=162  moderateparticipation                     job_attraction        arm not found in GT extraction
  seq=162  mostlyafricanamerican                     job_attraction        arm not found in GT extraction
  seq=162  mostlyhispanic                            job_attraction        arm not found in GT extraction
  seq=162  mostlywhite                               job_attraction        arm not found in GT extraction
  seq=162  multiracial                               job_attraction        arm not found in GT extraction
  seq=162  neverrequired                             job_attraction        arm not found in GT extraction
  seq=162  noperformancebonuses_fixedsalary          job_attraction        arm not found in GT extraction
  seq=162  occasionallyrequired                      job_attraction        arm not found in GT extraction
  seq=162  rareparticipation                         job_attraction        arm not found in GT extraction
  seq=162  satisfactionsurveysofprojecthopeeventparticipants  job_attraction        arm not found in GT extraction
  seq=162  slightlyaboveaverage                      job_attraction        arm not found in GT extraction
  seq=162  slightlybelowaverage                      job_attraction        arm not found in GT extraction
  seq=162  teamworkwithpeersandsupervisors           job_attraction        arm not found in GT extraction
  seq=174  3_according_to_data_from_the_centers_for_dis_ease  agree_to_be_vaccinated_in_spring_2021_with_covid_v  arm not found in GT extraction
  seq=174  3_according_to_data_from_the_centers_for_dis_ease  allowing_indoor_dining_at_restaurants  arm not found in GT extraction
  seq=174  3_according_to_data_from_the_centers_for_dis_ease  allowing_indoor_seating_at_bars  arm not found in GT extraction
  seq=174  3_according_to_data_from_the_centers_for_dis_ease  believe_the_coronavirus_is_under_control_in_your_s  arm not found in GT extraction
  seq=174  3_according_to_data_from_the_centers_for_dis_ease  book_a_flight_for_business_travel  arm not found in GT extraction
  seq=174  3_according_to_data_from_the_centers_for_dis_ease  book_a_flight_for_personal_travel  arm not found in GT extraction
  seq=174  3_according_to_data_from_the_centers_for_dis_ease  book_a_hotel_room_or_vacation_rental  arm not found in GT extraction
  seq=174  3_according_to_data_from_the_centers_for_dis_ease  confidence_in_safety_from_covid  arm not found in GT extraction
  seq=174  3_according_to_data_from_the_centers_for_dis_ease  eat_at_a_restaurant   arm not found in GT extraction
  seq=174  3_according_to_data_from_the_centers_for_dis_ease  prohibiting_large_indoor_social_gatherings  arm not found in GT extraction
  seq=174  3_according_to_data_from_the_centers_for_dis_ease  providing_in_person_schooling_for_college_students  arm not found in GT extraction
  seq=174  3_according_to_data_from_the_centers_for_dis_ease  providing_in_person_schooling_for_k_12_students  arm not found in GT extraction
  seq=174  3_according_to_data_from_the_centers_for_dis_ease  requiring_non_essential_businesses_to_close_in_per  arm not found in GT extraction
  seq=174  3_according_to_data_from_the_centers_for_dis_ease  requiring_people_to_wear_masks_in_indoor_public_sp  arm not found in GT extraction
  seq=174  3_according_to_data_from_the_centers_for_dis_ease  requiring_workers_to_wear_mask  arm not found in GT extraction
  seq=174  9_according_to_the_u_s_bureau_of_labor_statistics  agree_to_be_vaccinated_in_spring_2021_with_covid_v  arm not found in GT extraction
  seq=174  9_according_to_the_u_s_bureau_of_labor_statistics  allowing_indoor_dining_at_restaurants  arm not found in GT extraction
  seq=174  9_according_to_the_u_s_bureau_of_labor_statistics  allowing_indoor_seating_at_bars  arm not found in GT extraction
  seq=174  9_according_to_the_u_s_bureau_of_labor_statistics  believe_the_coronavirus_is_under_control_in_your_s  arm not found in GT extraction
  seq=174  9_according_to_the_u_s_bureau_of_labor_statistics  book_a_flight_for_business_travel  arm not found in GT extraction
  seq=174  9_according_to_the_u_s_bureau_of_labor_statistics  book_a_flight_for_personal_travel  arm not found in GT extraction
  seq=174  9_according_to_the_u_s_bureau_of_labor_statistics  book_a_hotel_room_or_vacation_rental  arm not found in GT extraction
  seq=174  9_according_to_the_u_s_bureau_of_labor_statistics  confidence_in_safety_from_covid  arm not found in GT extraction
  seq=174  9_according_to_the_u_s_bureau_of_labor_statistics  eat_at_a_restaurant   arm not found in GT extraction
  seq=174  9_according_to_the_u_s_bureau_of_labor_statistics  prohibiting_large_indoor_social_gatherings  arm not found in GT extraction
  seq=174  9_according_to_the_u_s_bureau_of_labor_statistics  providing_in_person_schooling_for_college_students  arm not found in GT extraction
  seq=174  9_according_to_the_u_s_bureau_of_labor_statistics  providing_in_person_schooling_for_k_12_students  arm not found in GT extraction
  seq=174  9_according_to_the_u_s_bureau_of_labor_statistics  requiring_non_essential_businesses_to_close_in_per  arm not found in GT extraction
  seq=174  9_according_to_the_u_s_bureau_of_labor_statistics  requiring_people_to_wear_masks_in_indoor_public_sp  arm not found in GT extraction
  seq=174  9_according_to_the_u_s_bureau_of_labor_statistics  requiring_workers_to_wear_mask  arm not found in GT extraction
  seq=176  left_control                              prediction_accuracy   outcome not found in GT extraction
  seq=176  left_treatment                            prediction_accuracy   outcome not found in GT extraction
  seq=176  moderate_control                          prediction_accuracy   outcome not found in GT extraction
  seq=176  moderate_treatment                        prediction_accuracy   outcome not found in GT extraction
  seq=176  right_control                             prediction_accuracy   outcome not found in GT extraction
  seq=176  right_treatment                           prediction_accuracy   outcome not found in GT extraction
  seq=178  affect_group1                             macroeconomic_variables_that_consumers_pay_attenti  outcome not found in GT extraction
  seq=178  affect_group4                             macroeconomic_variables_that_consumers_pay_attenti  outcome not found in GT extraction
  seq=178  consequence_group2                        macroeconomic_variables_that_consumers_pay_attenti  outcome not found in GT extraction
  seq=178  consequence_group5                        macroeconomic_variables_that_consumers_pay_attenti  outcome not found in GT extraction
  seq=178  financialliteracy                         inflation_expectation  outcome not found in GT extraction
  seq=178  financialliteracy                         macroeconomic_variables_that_consumers_pay_attenti  outcome not found in GT extraction
  seq=178  financialliteracy                         unemployment_expectation  outcome not found in GT extraction
  seq=178  highincome                                inflation_expectation  outcome not found in GT extraction
  seq=178  highincome                                macroeconomic_variables_that_consumers_pay_attenti  outcome not found in GT extraction
  seq=178  highincome                                unemployment_expectation  outcome not found in GT extraction
  seq=178  importanceofinflation                     inflation_expectation  outcome not found in GT extraction
  seq=178  importanceofinflation                     macroeconomic_variables_that_consumers_pay_attenti  outcome not found in GT extraction
  seq=178  importanceofinflation                     unemployment_expectation  outcome not found in GT extraction
  seq=178  liquidasset                               inflation_expectation  outcome not found in GT extraction
  seq=178  liquidasset                               macroeconomic_variables_that_consumers_pay_attenti  outcome not found in GT extraction
  seq=178  liquidasset                               unemployment_expectation  outcome not found in GT extraction
  seq=178  literacyofinflation                       inflation_expectation  outcome not found in GT extraction
  seq=178  literacyofinflation                       macroeconomic_variables_that_consumers_pay_attenti  outcome not found in GT extraction
  seq=178  literacyofinflation                       unemployment_expectation  outcome not found in GT extraction
  seq=178  nigroup                                   macroeconomic_variables_that_consumers_pay_attenti  outcome not found in GT extraction
  seq=178  overall_sample                            inflation_expectation  outcome not found in GT extraction
  seq=178  overall_sample                            macroeconomic_variables_that_consumers_pay_attenti  outcome not found in GT extraction
  seq=178  overall_sample                            unemployment_expectation  outcome not found in GT extraction
  seq=178  priorinflationuncertainty                 inflation_expectation  outcome not found in GT extraction
  seq=178  priorinflationuncertainty                 macroeconomic_variables_that_consumers_pay_attenti  outcome not found in GT extraction
  seq=178  priorinflationuncertainty                 unemployment_expectation  outcome not found in GT extraction
  seq=178  subjectiveuncertaintyininflation          inflation_expectation  outcome not found in GT extraction
  seq=178  subjectiveuncertaintyininflation          macroeconomic_variables_that_consumers_pay_attenti  outcome not found in GT extraction
  seq=178  subjectiveuncertaintyininflation          unemployment_expectation  outcome not found in GT extraction
